Iteration,Measured Position,Accepted by Hidden Variable Rule
778,0.3353,Yes
779,0.7357,No
780,-0.1752,No
781,0.0050,Yes
782,0.9459,No
783,-0.3754,No
784,-0.7257,No
785,-1.3363,No
786,-0.0050,No
787,-0.5355,No
788,-0.6657,Yes
789,0.4555,No
790,0.5055,No
791,-1.9069,No
792,-1.8969,No
793,-0.4354,No
794,-0.0050,No
795,1.2763,No
796,-0.4254,No
797,-1.3964,No
798,-0.0851,No
799,0.0350,No
800,-0.2653,No
801,1.0661,No
802,-1.5966,No
803,0.9359,No
804,0.6657,No
805,-0.0551,No
806,-0.3353,No
807,0.9259,No
808,-1.5065,No
809,-1.0260,No
810,-0.3754,No
811,1.1962,No
812,2.3373,Yes
813,0.5155,No
814,0.1051,No
815,-1.5265,No
816,-1.3263,Yes
817,-1.8468,No
818,-2.2472,No
819,1.3864,No
820,-0.1051,No
821,0.2152,No
822,1.3463,Yes
823,0.1051,No
824,-0.6757,No
825,0.6456,No
826,-0.1752,No
827,0.1952,No
828,-1.0260,No
829,-0.2352,No
830,-0.4254,No
831,-0.8358,No
832,-2.3373,No
833,-0.4054,No
834,0.4955,No
835,2.1071,No
836,0.8258,No
837,-0.8959,No
838,-0.4955,No
839,0.2252,No
840,-1.4965,No
841,0.2953,No
842,0.2653,No
843,-0.9059,No
844,-0.2452,No
845,0.4054,No
846,0.1652,No
847,0.2352,No
848,0.9760,No
849,1.9770,No
850,-0.2352,No
851,0.1752,No
852,-1.5265,No
853,0.7958,No
854,-1.0460,No
855,0.4755,No
856,0.8358,No
857,0.4955,No
858,-0.4354,No
859,0.9860,No
860,0.1251,No
861,-0.6056,No
862,0.0851,No
863,-1.2362,No
864,-0.2653,No
865,1.3463,Yes
866,0.2653,No
867,-1.6967,No
868,-0.4555,No
869,-0.6356,No
870,-1.8168,No
871,1.1562,No
872,0.3954,No
873,0.5255,No
874,-0.3353,No
875,0.3353,Yes
876,-0.9159,No
877,-1.2462,No
878,-0.5956,No
879,-0.7057,No
880,0.9059,No
881,-0.7157,No
882,0.6156,No
883,0.6757,Yes
884,2.5976,No
885,-1.3463,No
886,-0.8559,No
887,-0.8358,No
888,0.9660,No
889,0.3053,No
890,0.2452,No
891,0.1051,No
892,-1.3964,No
893,-0.3854,No
894,-1.1762,No
895,0.6256,No
896,0.2553,No
897,0.3053,No
898,0.6957,No
899,-0.7257,No
900,-0.1652,No
901,1.2462,No
902,-1.3664,No
903,1.3664,No
904,-0.2452,No
905,-0.2452,No
906,-0.2052,No
907,1.9069,No
908,-0.7257,No
909,-0.8559,No
910,-0.2052,No
911,-0.5756,No
912,1.0460,No
913,0.5556,No
914,1.4765,No
915,1.1962,No
916,0.1351,No
917,-0.9359,No
918,0.0751,No
919,-2.0170,No
920,-0.3954,No
921,-0.6056,No
922,-0.4254,No
923,-0.4955,No
924,0.4154,No
925,0.7457,No
926,-0.3453,No
927,-0.0651,No
928,0.3854,No
929,0.3253,No
930,0.8759,No
931,-0.1151,No
932,1.8969,No
933,0.8258,No
934,0.4755,No
935,-0.4054,No
936,0.0250,No
937,-0.5155,No
938,-1.3764,No
939,0.8258,No
940,0.3153,No
941,0.8959,No
942,1.3764,No
943,-2.5576,No
944,1.2462,No
945,-0.3253,Yes
946,0.0551,No
947,0.0651,No
948,-0.1151,No
949,0.5255,No
950,-1.6667,Yes
951,-0.9860,Yes
952,1.9970,No
953,1.4264,No
954,-0.3253,Yes
955,1.1762,No
956,0.3153,No
957,0.7257,No
958,0.4555,No
959,-0.2853,No
960,-0.2553,No
961,-0.2753,No
962,-2.7277,No
963,-1.0661,No
964,-0.1151,No
965,1.2663,No
966,-0.0050,No
967,-0.7257,No
968,0.4154,No
969,-0.8659,No
970,0.6957,No
971,-0.0450,No
972,-0.8458,No
973,-0.3954,No
974,-1.6366,No
975,0.1852,No
976,1.3163,No
977,0.7457,No
978,-0.2553,No
979,-1.3163,No
980,0.4254,No
981,1.0160,Yes
982,-0.5455,No
983,-0.6256,No
984,-0.2052,No
985,-1.4064,No
986,-0.4054,No
987,-1.4865,No
988,0.8358,No
989,-0.6957,No
990,1.9269,No
991,0.4254,No
992,-0.4154,No
993,0.9860,No
994,0.1151,No
995,-0.7457,No
996,1.5065,No
997,-0.1051,No
998,0.2252,No
999,-0.9560,No
1000,-0.6156,No
